date,product,quantity,price
04-04-2026,Widget B,13,15.5
05-04-2026,Gadget X,8,85
05-04-2026,Widget C,17,45
06-04-2026,Gadget Y,5,125
06-04-2026,Widget A,14,20
07-04-2026,Widget B,6,15.5
07-04-2026,Gadget X,2,85
08-04-2026,Widget C,11,45
08-04-2026,Gadget Y,3,125
09-04-2026,Widget A,10,20
09-04-2026,Widget B,15,15.5
